decay_fn,epsilon_min,epsilon_max,epsilon_decay,alpha,beta,delta,reward_discount,mem_size,batch_size,episodes,reward,max_score,min_score,action_space,qrtm_n_clauses,ta_states,T,s,wins,win_ratio,run_date,bin_length,incremental,weighted_clauses,binarizer
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,200,-1,2,200,8,200,5000,0,0.0,20210515_123259,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,200,-1,2,200,8,200,10,3,0.01,20210515_133017,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,200,-1,2,200,8,200,10,1,0.0033333333333333335,20210515_150222,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,200,-1,2,200,8,200,50,0,0.0,20210515_165514,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,200,-1,2,100,8,100,10,2,0.006666666666666667,20210515_181359,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,200,-1,2,100,8,100,10,2,0.006666666666666667,20210517_101143,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,100,-1,2,100,2,50,10,1,0.0033333333333333335,20210517_175837,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,100,-1,2,10,2,5,10,1,0.0033333333333333335,20210517_200013,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,0.9,10000,200,300,1,100,-1,2,10,2,5,10,1,0.0033333333333333335,20210518_103503,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,100,-1,2,10,4,5,10,0,0.0,20210518_113032,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,100,-1,2,10,2,5,10,0,0.0,20210518_120540,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,100,-1,2,10,1,5,10,0,0.0,20210518_123259,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,100,-1,2,10,10,5,10,2,0.006666666666666667,20210518_130216,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,200,-1,2,10,2,5,10,0,0.0,20210518_133549,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,200,-1,2,10,4,5,10,0,0.0,20210518_140726,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,200,-1,2,10,5,5,10,2,0.006666666666666667,20210518_150516,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,200,-1,2,10,6,5,10,2,0.006666666666666667,20210518_164914,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,200,-1,2,10,8,5,10,1,0.0033333333333333335,20210518_172901,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,200,-1,2,10,10,5,10,0,0.0,20210518_181610,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,200,-1,2,10,20,5,10,2,0.006666666666666667,20210518_192412,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,200,-1,2,10,50,5,10,1,0.0033333333333333335,20210518_195418,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,200,-1,2,10,100,5,10,0,0.0,20210518_222626,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,200,-1,2,10,2,7,10,1,0.0033333333333333335,20210519_111711,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,200,-1,2,10,2,5,10,0,0.0,20210519_115029,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,200,-1,2,10,6,10,10,1,0.0033333333333333335,20210519_121822,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,300,300,1,200,-1,2,10,6,10,10,2,0.006666666666666667,20210519_132129,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,400,300,1,200,-1,2,10,6,10,10,0,0.0,20210519_141952,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,100000,1000,300,1,200,-1,2,10,6,10,10,1,0.0033333333333333335,20210519_164218,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,100000,1000,500,1,200,-1,2,10,6,10,10,2,0.004,20210519_214046,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,100000,1000,500,1,100,-1,2,10,6,5,10,7,0.014,20210520_143940,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,100000,1000,500,1,100,-1,2,20,6,10,10,4,0.008,20210521_121057,4,True,False,G
